Caption	Image ID
<span RHS><i>Narcissus cyclamineus</i> (13) AGM</span> and Primula	P00234
<span RHS><i>Haberlea rhodopensis</i> AGM</span>	P00236
<span RHS><i>Lathyrus vernus</i> AGM</span>	P00237
<span RHS><i>Geum rivale</i></span>	P00239
<span RHS><i>Epimedium</i> &times; <i>versicolor</i> 'Sulphureum' AGM</span>	P00243
<span RHS><i>Epimedium</i> &times; <i>perralchicum</i> 'Fröhnleiten'</span>	P00244
<span RHS><i>Convolvulus sabatius</i> AGM</span>	P00245
<span RHS><i>Cirsium rivulare</i> 'Atropurpureum' AGM</span>	P00246
<span RHS><i>Dracunculus vulgaris</i></span>	P00249
<span RHS><i>Aconitum</i> 'Stainless Steel' AGM</span>	P00250
<span RHS><i>Aconitum</i> 'Stainless Steel' AGM</span>	P00251
<span RHS><i>Cirsium rivulare</i> 'Atropurpureum' AGM</span>	P00252
<span RHS><i>Astrantia major</i></span>	P00253
<span RHS><i>Rodgersia podophylla</i></span>	P00254
<span RHS><i>Rodgersia pinnata</i></span> - at Flaxbourne Farm	P00255
<span RHS><i>Rosa rugosa</i> (Ru)</span>	P00256
<span RHS><i>Trollius buddae</i></span>	P00257
<span RHS><i>Tradescantia</i> (Andersoniana Group) 'Osprey'</span>	P00258
<span RHS><i>Sisyrinchium striatum</i></span>	P00259
<span RHS><i>Papaver</i> (Oriental Group) 'Turkish Delight'</span>	P00260
<span RHS><i>Papaver</i> (Oriental Group) 'Beauty Queen'</span> && <span RHS><i>Centaurea montana</i></span>	P00261
<span RHS><i>Paeonia lactiflora</i> 'Krinkled White'</span>	P00262
<span RHS><i>Paeonia lactiflora</i> 'Globe of Light'</span>	P00263
<span RHS><i>Paeonia lactiflora</i> 'Shirley Temple'</span>	P00264
<span RHS><i>Potentilla</i> 'Flamenco'</span>	P00265
<span RHS><i>Phlox divaricata</i> subsp. <i>laphamii</i> 'Chattahoochee' AGM</span>	P00266
<span RHS><i>Crocosmia</i> &times; <i>crocosmiiflora</i> 'Star of the East' AGM</span>	P00267
<span RHS><i>Papaver rupifragum</i></span>	P00268
<span RHS><i>Pulsatilla vulgaris</i> AGM</span> - seed head	P00269
<span RHS><i>Thalictrum aquilegiifolium</i></span> 'Album'	P00270
<span RHS><i>Trillium chloropetalum</i></span>	P00271
<span RHS><i>Hosta</i> 'Frances Williams' (<i>sieboldiana</i>) (v) AGM</span>	P00272
<span RHS><i>Primula bulleyana</i> (Pf) AGM</span>	P00273
<span RHS><i>Deschampsia flexuosa</i> 'Tatra Gold' AGM</span>	P00274
<span RHS><i>Aegopodium podagraria</i> 'Variegatum' (v)</span>	P00275
<span RHS><i>Buddleja globosa</i> AGM</span>	P00276
<span RHS><i>Iris pseudacorus</i></span>	P00277
<span RHS><i>Gunnera manicata</i></span>	P00278
<span RHS><i>Delphinium</i> Blue Bird Group</span>	P00279
<span RHS><i>Crambe cordifolia</i> AGM</span>	P00280
<span RHS><i>Campanula poscharskyana</i></span>	P00281
<span RHS><i>Carpenteria californica</i></span>	P00282
<span RHS><i>Hosta</i> 'Great Expectations' (<i>sieboldiana</i>) (v)</span>	P00283
<span RHS><i>Osmunda regalis</i> AGM</span>	P00284
<span RHS><i>Centaurea</i> 'John Coutts'</span>	P00285
<span RHS><i>Phlomis fruticosa</i> AGM</span>	P00286
<span RHS><i>Echium pininana</i> AGM</span>	P00287
<i>Penstemon</i> 'Sour Grapes'	P00288
<span RHS><i>Stipa tenuissima</i></span>	P00289
<span RHS><i>Erigeron karvinskianus</i> AGM</span>	P00290
<span RHS><i>Delphinium</i> Astolat Group</span>	P00291
<span RHS><i>Delphinium</i> Guinevere Group</span>	P00292
<span RHS><i>Thalictrum flavum</i></span>	P00293
<span RHS><i>Phlomis tuberosa</i></span>	P00294
<span RHS><i>Achillea</i> 'Moonshine' AGM</span>	P00295
<span RHS><i>Hosta</i> 'Patriot' (v) AGM</span> && <i>Libertia grandiflora</i>	P00296
<span RHS><i>Primula florindae</i> (Si) AGM</span>	P00297
<span RHS><i>Rodgersia pinnata</i></span> - at Coton Manor	P00298
<span RHS><i>Stachys byzantina</i></span>	P00299
<span RHS><i>Potentilla</i> 'William Rollisson' AGM</span>	P00300
<span RHS><i>Zantedeschia aethiopica</i> 'Crowborough' AGM</span>	P00301
<span RHS><i>Helichrysum</i> 'Schwefellicht'</span>	P00302
<span RHS><i>Papaver rhoeas</i> Angels' Choir Group (d)</span>	P00303
<span RHS><i>Papaver rhoeas</i></span>	P00304
<span RHS><i>Papaver rhoeas</i></span>	P00305
<span RHS><i>Iris ensata</i></span>	P00306
<span RHS><i>Iris ensata</i></span>	P00307
<span RHS><i>Stachys macrantha</i></span>	P00308
<span RHS><i>Papaver somniferum</i></span> double pink	P00309
<span RHS><i>Dianthus barbatus</i></span>	P00310
<span RHS><i>Tradescantia</i> (Andersoniana Group) 'Concord Grape' AGM</span>	P00311
<span RHS><i>Orlaya grandiflora</i> AGM</span> and Nepeta	P00312
<span RHS><i>Orlaya grandiflora</i> AGM</span>	P00313
<span RHS><i>Cistus ladanifer</i> L.</span>	P00314
<span RHS><i>Lonicera</i> &times; <i>tellmanniana</i> AGM</span>	P00315
<span RHS><i>Geranium pratense</i> 'Mrs Kendall Clark' AGM</span>	P00316
<span RHS><i>Lonicera</i> &times; <i>brownii</i> 'Dropmore Scarlet'</span>	P00317
<span RHS><i>Lonicera</i> &times; <i>brownii</i> 'Dropmore Scarlet'</span>	P00318
<span RHS><i>Tiarella</i> 'Ninja'</span>	P00319
<span RHS><i>Clematis integrifolia</i></span>	P00320
<span RHS><i>Nectaroscordum siculum</i></span> - seed head	P00321
<span RHS><i>Geranium sanguineum</i> var. <i>striatum</i> AGM</span>	P00322
<span RHS><i>Iris</i> 'Sky Hooks' (TB)</span>	P00323
<span RHS><i>Iris</i> 'Sky Hooks' (TB)</span>	P00324
<span RHS><i>Arbutus</i> &times; <i>andrachnoides</i> AGM</span>	P00325
<span RHS><i>Aesculus</i> &times; <i>carnea</i></span>	P00326
<span RHS><i>Aesculus hippocastanum</i></span>	P00327
<span RHS><i>Knautia arvensis</i></span>	P00328
<span RHS><i>Pentaglottis sempervirens</i></span>	P00329
<span RHS><i>Tanacetum parthenium</i></span>	P00330
<span RHS><i>Alchemilla mollis</i> AGM</span> - flowers	P00331
<span RHS><i>Achillea</i> 'Terracotta'</span>	P00332
<span RHS><i>Aconitum napellus</i></span>	P00333
<span RHS><i>Ajuga reptans</i></span>	P00334
<span RHS><i>Anemone</i> &times; <i>hybrida</i> 'Honorine Jobert' AGM</span>	P00335
<span RHS><i>Anthericum liliago</i></span>	P00336
<span RHS><i>Aquilegia fragrans</i></span>	P00337
<span RHS><i>Arum italicum</i> subsp. <i>italicum</i> 'Marmoratum' AGM</span>	P00338
<span RHS><i>Athyrium niponicum</i> var. <i>pictum</i> AGM</span>	P00342
<span RHS><i>Bergenia</i> 'Abendglocken'</span>	P00343
<span RHS><i>Brunnera macrophylla</i> 'Hadspen Cream' (v) AGM</span>	P00344
<span RHS><i>Campanula poscharskyana</i></span>	P00345
<span RHS><i>Campanula rotundifolia</i></span>	P00346
<span RHS><i>Carex elata</i> 'Aurea' AGM</span>	P00347
<span RHS><i>Centranthus ruber</i></span>	P00348
<span RHS><i>Dahlia</i> 'Bishop of Llandaff' (P) AGM</span> Misc	P00349
<span RHS><i>Crocosmia</i> 'Lucifer' AGM</span>	P00350
<i>Digitalis parviflora</i>	P00351
<span RHS><i>Echinacea pallida</i></span>	P00352
<span RHS><i>Adiantum pedatum</i> L.</span>	P00353
<span RHS><i>Asplenium scolopendrium</i> Cristatum Group</span>	P00354
<span RHS><i>Crambe cordifolia</i> AGM</span>	P00355
<span RHS><i>Dryopteris erythrosora</i> AGM</span>	P00356
<span RHS><i>Dryopteris filix-mas</i> 'Cristata' AGM</span>	P00357
<span RHS><i>Euphorbia characias</i></span>	P00358
<span RHS><i>Epimedium</i> &times; <i>versicolor</i> 'Sulphureum' AGM</span>	P00359
<span RHS><i>Euphorbia griffithii</i> 'Fireglow'</span>	P00360
<span RHS><i>Galanthus nivalis</i> AGM</span>	P00361
<span RHS><i>Geranium clarkei</i> 'Kashmir White'</span>	P00362
<span RHS><i>Geranium endressii</i> AGM</span>	P00363
<span RHS><i>Geranium pratense</i> 'Hocus Pocus'</span>	P00364
<span RHS><i>Geranium phaeum</i></span>	P00365
<span RHS><i>Geranium</i> &times; <i>magnificum</i> AGM</span>	P00366
<span RHS><i>Geranium maderense</i> AGM</span>	P00367
<span RHS><i>Gunnera manicata</i></span> - flowers	P00368
<span RHS><i>Gunnera manicata</i></span>	P00369
<span RHS><i>Helleborus</i> &times; <i>hybridus</i></span> pink	P00370
<span RHS><i>Helleborus</i> &times; <i>hybridus</i></span> red	P00371
<span RHS><i>Hemerocallis lilioasphodelus</i></span>	P00372
<span RHS><i>Hemerocallis</i> 'Pink Damask' AGM</span>	P00373
<span RHS><i>Heuchera</i> 'Plum Pudding' <sup>(PBR)</sup></span>	P00374
<span RHS><i>Hosta fortunei</i> var. <i>albopicta</i> (v)</span>	P00375
<span RHS><i>Hosta sieboldiana</i></span>	P00376
<span RHS><i>Houttuynia cordata</i></span> - autumn colour	P00377
<span RHS><i>Houttuynia cordata</i></span> - flowers	P00378
<span RHS><i>Humulus lupulus</i> 'Aureus' AGM</span>	P00379
<span RHS><i>Humulus lupulus</i> (m)</span>	P00380
<span RHS><i>Inula magnifica</i></span>	P00381
<span RHS><i>Iris foetidissima</i> AGM</span>	P00382
<span RHS><i>Matteuccia struthiopteris</i> AGM</span>	P00383
<span RHS><i>Mentha pulegium</i></span>	P00384
<span RHS><i>Origanum vulgare</i> 'Aureum' AGM</span>	P00385
<span RHS><i>Papaver rhoeas</i></span>	P00386
<span RHS><i>Phormium tenax</i></span> - flowers	P00387
<span RHS><i>Phormium</i> 'Yellow Wave' (v) AGM</span>	P00388
<span RHS><i>Primula elatior</i> (Pr) AGM</span>	P00389
<span RHS><i>Primula</i> Gold-laced Group (Pr/Poly)</span>	P00390
<span RHS><i>Narcissus</i> 'Little Witch' (6)</span>	P00391
<span RHS><i>Primula vulgaris</i> (Pr/Prim) AGM</span>	P00393
<span RHS><i>Pulmonaria</i> 'Lewis Palmer' AGM</span>	P00394
<span RHS><i>Saxifraga</i> &times; <i>urbium</i> (11) AGM</span>	P00395
<span RHS><i>Hylotelephium</i> (Herbstfreude Group) 'Herbstfreude' AGM</span>	P00396
<span RHS><i>Sisyrinchium striatum</i></span>	P00398
<span RHS><i>Symphytum ibericum</i></span>	P00399
<span RHS><i>Thalictrum aquilegiifolium</i></span>	P00400
<span RHS><i>Tiarella wherryi</i> AGM</span>	P00401
<span RHS><i>Verbena bonariensis</i> AGM</span> - close up	P00402
<span RHS><i>Viola cornuta</i> AGM</span>	P00403
<span RHS><i>Viola riviniana</i> Purpurea Group</span>	P00404
<span RHS><i>Lysimachia punctata</i> 'Alexander' (v)</span>	P00405
<span RHS><i>Lysimachia punctata</i> L.</span>	P00406
<span RHS><i>Lysimachia ephemerum</i> AGM</span>	P00407
<span RHS><i>Lythrum salicaria</i> 'Robert'</span>	P00408
<span RHS><i>Miscanthus sinensis</i> 'Zebrinus' (v) AGM</span>	P00409
<span RHS><i>Nepeta</i> 'Six Hills Giant'</span>	P00410
<span RHS><i>Oenothera fruticosa</i> subsp. <i>glauca</i> 'Erica Robin' (v)</span>	P00411
<span RHS><i>Papaver</i> (Oriental Group) 'Patty's Plum'</span>	P00412
<span RHS><i>Papaver</i> (Oriental Group) 'Pizzicato'</span>	P00413
<span RHS><i>Penstemon</i> 'Blackbird' (Bird Series)</span>	P00414
<span RHS><i>Penstemon</i> 'Schoenholzeri' AGM</span>	P00415
<span RHS><i>Penstemon</i> 'Papal Purple'</span>	P00416
<span RHS><i>Penstemon</i> 'White Bedder'</span>	P00417
<span RHS><i>Penstemon</i> 'Stapleford Gem' AGM</span>	P00418
<span RHS><i>Penstemon</i> 'Stapleford Gem' AGM</span>	P00419
<span RHS><i>Penstemon</i> 'Apple Blossom'</span>	P00420
<span RHS><i>Penstemon digitalis</i> 'Husker Red'</span>	P00421
<span RHS><i>Penstemon</i> <span class="trade-name">Fujiyama</span> = 'Yayama' <sup>(PBR)</sup></span>	P00422
<span RHS><i>Penstemon</i> 'Andenken an Friedrich Hahn' AGM</span>	P00423
<span RHS><i>Penstemon</i> 'Papal Purple'</span>	P00424
<span RHS><i>Physostegia virginiana</i> 'Vivid' AGM</span>	P00425
<span RHS><i>Platycodon grandiflorus</i> 'Hakone'</span>	P00426
<span RHS><i>Platycodon grandiflorus</i> AGM</span> pink form	P00427
<span RHS><i>Polemonium caeruleum</i></span>	P00428
